Date,Time,Country,Paises,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,Odd_BTTS_No,League,ROUND
22.08.2023,10:00,RUSSIA,RUSSIAN CUP - REGIONS PATH - 1/16-FINALS,Ryazan,Kosmos,4.75,3.8,1.55,1.7,2.1,1.73,2.0,RUSSIA - RUSSIAN CUP - REGIONS PATH,1/16-FINALS
22.08.2023,12:00,RUSSIA,RUSSIAN CUP - REGIONS PATH - 1/16-FINALS,Miass,Amkar,4.75,3.8,1.55,1.7,2.1,1.73,2.0,RUSSIA - RUSSIAN CUP - REGIONS PATH,1/16-FINALS
22.08.2023,13:30,RUSSIA,RUSSIAN CUP - REGIONS PATH - 1/16-FINALS,Chelyabinsk,Omsk,4.75,3.8,1.55,1.7,2.1,1.73,2.0,RUSSIA - RUSSIAN CUP - REGIONS PATH,1/16-FINALS
22.08.2023,13:30,RUSSIA,RUSSIAN CUP - REGIONS PATH - 1/16-FINALS,Sakhalinets,Saturn Ramenskoye,4.75,3.8,1.55,1.7,2.1,1.73,2.0,RUSSIA - RUSSIAN CUP - REGIONS PATH,1/16-FINALS
22.08.2023,14:00,RUSSIA,RUSSIAN CUP - REGIONS PATH - 1/16-FINALS,Astrakhan,R. Volgograd,4.75,3.8,1.55,1.7,2.1,1.73,2.0,RUSSIA - RUSSIAN CUP - REGIONS PATH,1/16-FINALS
22.08.2023,16:00,RUSSIA,RUSSIAN CUP - REGIONS PATH - 1/16-FINALS,Tekstilshtik,Amkal Moscow,4.75,3.8,1.55,1.7,2.1,1.73,2.0,RUSSIA - RUSSIAN CUP - REGIONS PATH,1/16-FINALS
22.08.2023,13:10,SAUDI ARABIA,DIVISION 1 - ROUND 2,Al Ain,Al Bukayriyah,4.75,3.8,1.55,1.7,2.1,1.73,2.0,SAUDI ARABIA - DIVISION 1,ROUND 2
22.08.2023,15:50,SAUDI ARABIA,DIVISION 1 - ROUND 2,Al Safa,Al Batin,4.75,3.8,1.55,1.7,2.1,1.73,2.0,SAUDI ARABIA - DIVISION 1,ROUND 2
22.08.2023,16:05,SAUDI ARABIA,DIVISION 1 - ROUND 2,Al-Qaisumah,Al Jabalain,4.75,3.8,1.55,1.7,2.1,1.73,2.0,SAUDI ARABIA - DIVISION 1,ROUND 2
22.08.2023,18:45,SCOTLAND,LEAGUE ONE - ROUND 3,Falkirk,Stirling,4.75,3.8,1.55,1.7,2.1,1.73,2.0,SCOTLAND - LEAGUE ONE,ROUND 3
22.08.2023,15:00,SLOVAKIA,SLOVAK CUP - 1/64-FINALS,Boleraz,Puchov,4.75,3.8,1.55,1.7,2.1,1.73,2.0,SLOVAKIA - SLOVAK CUP,1/64-FINALS
22.08.2023,15:00,SLOVAKIA,SLOVAK CUP - 1/64-FINALS,TJD Pribelce,HA Banska Bystrica,4.75,3.8,1.55,1.7,2.1,1.73,2.0,SLOVAKIA - SLOVAK CUP,1/64-FINALS
22.08.2023,15:00,SLOVAKIA,SLOVAK CUP - 1/64-FINALS,Tomasovce,Komarno,4.75,3.8,1.55,1.7,2.1,1.73,2.0,SLOVAKIA - SLOVAK CUP,1/64-FINALS
22.08.2023,22:00,SOUTH AMERICA,COPA LIBERTADORES - PLAY OFFS - QUARTER-FINALS,Bolivar (Bol),Internacional (Bra),4.75,3.8,1.55,1.7,2.1,1.73,2.0,SOUTH AMERICA - COPA LIBERTADORES - PLAY OFFS,QUARTER-FINALS
